1 Extend Pool

Train 1 err=15.0928
Validation 1 err=9.69232
Train 2 err=11.5569
Validation 2 err=8.85764
Train 3 err=10.1588
Validation 3 err=8.55139
Train 4 err=9.39932
Validation 4 err=8.33375
Train 5 err=8.91755
Validation 5 err=8.20873
Train 6 err=8.58333
Validation 6 err=8.11872
Train 7 err=8.33677
Validation 7 err=8.03614
Train 8 err=8.14681
Validation 8 err=7.96452
Train 9 err=7.99556
Validation 9 err=7.9057
Train 10 err=7.87199
Validation 10 err=7.85574
2 Extend Pool

Train 1 err=12.5422
Validation 1 err=7.10516
Train 2 err=9.63194
Validation 2 err=6.84885
Train 3 err=8.52682
Validation 3 err=6.78297
Train 4 err=7.93564
Validation 4 err=6.72419
Train 5 err=7.56437
Validation 5 err=6.69007
Train 6 err=7.309
Validation 6 err=6.68392
Train 7 err=7.12168
Validation 7 err=6.68937
Train 8 err=6.97846
Validation 8 err=6.69274
Train 9 err=6.86528
Validation 9 err=6.69596
Train 10 err=6.77328
Validation 10 err=6.69752
3 Extend Pool

Train 1 err=11.3852
Validation 1 err=7.61153
Train 2 err=8.85068
Validation 2 err=7.6329
Train 3 err=7.85699
Validation 3 err=7.24338
Train 4 err=7.31279
Validation 4 err=6.97816
Train 5 err=6.97002
Validation 5 err=6.81632
Train 6 err=6.73309
Validation 6 err=6.72762
Train 7 err=6.55954
Validation 7 err=6.65333
Train 8 err=6.42616
Validation 8 err=6.60375
Train 9 err=6.32087
Validation 9 err=6.56475
Train 10 err=6.23556
Validation 10 err=6.54082
4 Extend Pool

Train 1 err=11.038
Validation 1 err=7.60282
Train 2 err=8.67326
Validation 2 err=7.38296
Train 3 err=7.75134
Validation 3 err=7.18717
Train 4 err=7.24423
Validation 4 err=7.0851
Train 5 err=6.92107
Validation 5 err=6.96048
Train 6 err=6.69556
Validation 6 err=6.88141
Train 7 err=6.52826
Validation 7 err=6.77957
Train 8 err=6.39841
Validation 8 err=6.72612
Train 9 err=6.29442
Validation 9 err=6.70866
Train 10 err=6.21034
Validation 10 err=6.7153
5 Extend Pool

Train 1 err=10.8959
Validation 1 err=6.58792
Train 2 err=8.46642
Validation 2 err=6.06143
Train 3 err=7.52479
Validation 3 err=5.89308
Train 4 err=7.02361
Validation 4 err=5.94196
Train 5 err=6.7114
Validation 5 err=5.91833
Train 6 err=6.49495
Validation 6 err=5.89947
Train 7 err=6.33582
Validation 7 err=5.86964
Train 8 err=6.21415
Validation 8 err=5.87746
Train 9 err=6.11771
Validation 9 err=5.86495
Train 10 err=6.03863
Validation 10 err=5.85657
6 Extend Pool

Train 1 err=11.5672
Validation 1 err=7.05192
Train 2 err=8.93694
Validation 2 err=6.41678
Train 3 err=7.89847
Validation 3 err=6.22068
Train 4 err=7.32875
Validation 4 err=6.09455
Train 5 err=6.9655
Validation 5 err=6.04605
Train 6 err=6.71396
Validation 6 err=5.95076
Train 7 err=6.52518
Validation 7 err=5.86827
Train 8 err=6.38059
Validation 8 err=5.80634
Train 9 err=6.26568
Validation 9 err=5.74092
Train 10 err=6.17529
Validation 10 err=5.67701
7 Extend Pool

Train 1 err=11.9501
Validation 1 err=6.03964
Train 2 err=9.28586
Validation 2 err=6.39468
Train 3 err=8.20844
Validation 3 err=6.18021
Train 4 err=7.60665
Validation 4 err=6.25191
Train 5 err=7.21968
Validation 5 err=6.11965
Train 6 err=6.95623
Validation 6 err=6.01234
Train 7 err=6.7618
Validation 7 err=5.96197
Train 8 err=6.60854
Validation 8 err=5.91418
Train 9 err=6.48035
Validation 9 err=5.8499
Train 10 err=6.37484
Validation 10 err=5.74357
8 Extend Pool

Train 1 err=12.9003
Validation 1 err=6.58434
Train 2 err=10.0778
Validation 2 err=6.33376
Train 3 err=8.94265
Validation 3 err=5.98323
Train 4 err=8.30905
Validation 4 err=5.74881
Train 5 err=7.90623
Validation 5 err=5.56144
Train 6 err=7.61052
Validation 6 err=5.44093
Train 7 err=7.38587
Validation 7 err=5.35817
Train 8 err=7.21327
Validation 8 err=5.30106
Train 9 err=7.0742
Validation 9 err=5.28655
Train 10 err=6.96231
Validation 10 err=5.29035
9 Extend Pool

Train 1 err=14.9421
Validation 1 err=6.67148
Train 2 err=11.5584
Validation 2 err=6.6323
Train 3 err=10.1362
Validation 3 err=6.12454
Train 4 err=9.33945
Validation 4 err=6.0131
Train 5 err=8.83458
Validation 5 err=5.96059
Train 6 err=8.48051
Validation 6 err=5.97099
Train 7 err=8.21205
Validation 7 err=5.95295
Train 8 err=8.00478
Validation 8 err=5.87369
Train 9 err=7.84487
Validation 9 err=5.80618
Train 10 err=7.71188
Validation 10 err=5.74354
10 Extend Pool

Train 1 err=15.375
Validation 1 err=7.35468
Train 2 err=11.8954
Validation 2 err=8.22818
Train 3 err=10.4633
Validation 3 err=8.30209
Train 4 err=9.69464
Validation 4 err=8.09818
Train 5 err=9.20095
Validation 5 err=8.29399
Train 6 err=8.85854
Validation 6 err=8.57073
Train 7 err=8.60352
Validation 7 err=8.68208
Train 8 err=8.40554
Validation 8 err=8.67095
Train 9 err=8.25001
Validation 9 err=8.55443
Train 10 err=8.12064
Validation 10 err=8.41389
11 Extend Pool

Train 1 err=17.8459
Validation 1 err=10.1087
Train 2 err=14.0083
Validation 2 err=9.16838
Train 3 err=12.469
Validation 3 err=8.82911
Train 4 err=11.5229
Validation 4 err=8.5671
Train 5 err=10.9078
Validation 5 err=8.38654
Train 6 err=10.4806
Validation 6 err=8.41731
Train 7 err=10.1617
Validation 7 err=8.34866
Train 8 err=9.91431
Validation 8 err=8.23866
Train 9 err=9.72004
Validation 9 err=8.09702
Train 10 err=9.55897
Validation 10 err=8.00458
12 Extend Pool

Train 1 err=19.9738
Validation 1 err=11.1736
Train 2 err=15.2695
Validation 2 err=9.70663
Train 3 err=13.339
Validation 3 err=9.50687
Train 4 err=12.2824
Validation 4 err=9.55871
Train 5 err=11.6195
Validation 5 err=9.48874
Train 6 err=11.1681
Validation 6 err=9.47279
Train 7 err=10.8397
Validation 7 err=9.52541
Train 8 err=10.5914
Validation 8 err=9.48311
Train 9 err=10.3991
Validation 9 err=9.35814
Train 10 err=10.2459
Validation 10 err=9.31384
13 Extend Pool

Train 1 err=22.4563
Validation 1 err=12.7327
Train 2 err=17.1633
Validation 2 err=11.7638
Train 3 err=15.1248
Validation 3 err=11.2502
Train 4 err=13.9927
Validation 4 err=10.7871
Train 5 err=13.2553
Validation 5 err=10.4351
Train 6 err=12.7365
Validation 6 err=10.2287
Train 7 err=12.3448
Validation 7 err=10.1625
Train 8 err=12.0421
Validation 8 err=10.0443
Train 9 err=11.7955
Validation 9 err=9.90299
Train 10 err=11.5938
Validation 10 err=9.81103
14 Extend Pool

Train 1 err=26.0254
Validation 1 err=14.9367
Train 2 err=19.7719
Validation 2 err=15.6001
Train 3 err=17.4453
Validation 3 err=15.0357
Train 4 err=16.2071
Validation 4 err=14.7381
Train 5 err=15.3949
Validation 5 err=14.5621
Train 6 err=14.8221
Validation 6 err=14.3659
Train 7 err=14.3919
Validation 7 err=14.1331
Train 8 err=14.0514
Validation 8 err=13.9092
Train 9 err=13.7824
Validation 9 err=13.7666
Train 10 err=13.565
Validation 10 err=13.6283
15 Extend Pool

Train 1 err=26.3842
Validation 1 err=12.8135
Train 2 err=19.8301
Validation 2 err=12.5499
Train 3 err=17.4274
Validation 3 err=12.2894
Train 4 err=16.1619
Validation 4 err=12.0713
Train 5 err=15.3897
Validation 5 err=11.9218
Train 6 err=14.8702
Validation 6 err=11.714
Train 7 err=14.4946
Validation 7 err=11.5742
Train 8 err=14.2136
Validation 8 err=11.4361
Train 9 err=13.99
Validation 9 err=11.3451
Train 10 err=13.8127
Validation 10 err=11.235
16 Extend Pool

Train 1 err=30.3506
Validation 1 err=17.5726
Train 2 err=23.2152
Validation 2 err=16.1089
Train 3 err=20.5725
Validation 3 err=14.7647
Train 4 err=19.1594
Validation 4 err=13.8231
Train 5 err=18.2302
Validation 5 err=13.5892
Train 6 err=17.549
Validation 6 err=13.6334
Train 7 err=17.0253
Validation 7 err=13.6624
Train 8 err=16.6229
Validation 8 err=13.7235
Train 9 err=16.2996
Validation 9 err=13.7684
Train 10 err=16.0354
Validation 10 err=13.8074
17 Extend Pool

Train 1 err=38.7606
Validation 1 err=23.3117
Train 2 err=30.0145
Validation 2 err=22.7339
Train 3 err=26.1252
Validation 3 err=21.5626
Train 4 err=24.0771
